,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_alpha,param_l1_ratio,params,split0_test_score,split1_test_score,mean_test_score,std_test_score,rank_test_score,Name,overall_ranking
12,28.54665505886078,2.9054759740829468,0.04397392272949219,0.005360126495361328,10,0.01,"{'alpha': 10, 'l1_ratio': 0.01}",-6.184982277162934,-6.108123388554285,-6.146552832858609,0.03842944430432471,5,constant,31.0
13,14.437224864959717,0.20931386947631836,0.037484049797058105,0.0015987157821655273,10,0.1,"{'alpha': 10, 'l1_ratio': 0.1}",-6.182406853286805,-6.090691353569994,-6.1365491034284,0.045857749858405406,3,constant,33.0
14,7.673621416091919,0.3999154567718506,0.04401445388793945,0.0020444393157958984,10,0.9,"{'alpha': 10, 'l1_ratio': 0.9}",-6.363505921951498,-6.271217858887647,-6.317361890419573,0.04614403153192548,17,constant,19.0
15,1.5993354320526123,0.05452132225036621,0.04825711250305176,0.0017762184143066406,10,0.99,"{'alpha': 10, 'l1_ratio': 0.99}",-6.376146067337006,-6.282333314850604,-6.329239691093805,0.04690637624320093,18,constant,17.0
16,11.676551818847656,0.2965545654296875,0.03591418266296387,0.0008642673492431641,33,0.01,"{'alpha': 33, 'l1_ratio': 0.01}",-6.180914619724627,-6.097426716807305,-6.139170668265965,0.041743951458661055,4,constant,32.0
17,4.146737813949585,0.12225174903869629,0.03956317901611328,0.011173009872436523,33,0.1,"{'alpha': 33, 'l1_ratio': 0.1}",-6.234686323300243,-6.139730864151749,-6.187208593725996,0.04747772957424701,12,constant,24.0
18,1.6485835313796997,0.11002218723297119,0.0457308292388916,0.006749153137207031,33,0.9,"{'alpha': 33, 'l1_ratio': 0.9}",-6.7305794545993605,-6.630489350523698,-6.680534402561529,0.05004505203783127,21,constant,11.0
19,1.208318829536438,0.06161820888519287,0.03994333744049072,0.0009278059005737305,33,0.99,"{'alpha': 33, 'l1_ratio': 0.99}",-6.796264542574673,-6.694663732818734,-6.745464137696704,0.05080040487796955,22,constant,9.0
20,5.8778709173202515,0.22027051448822021,0.033696532249450684,0.0003618001937866211,66,0.01,"{'alpha': 66, 'l1_ratio': 0.01}",-6.19292476722608,-6.1063163888627185,-6.149620578044399,0.04330418918168055,6,constant,30.0
21,2.8007760047912598,0.01579141616821289,0.038552284240722656,0.00845479965209961,66,0.1,"{'alpha': 66, 'l1_ratio': 0.1}",-6.325159951668672,-6.237480418419839,-6.2813201850442555,0.043839766624416576,16,constant,20.0
22,1.1667826175689697,0.026108980178833008,0.037290215492248535,0.0057877302169799805,66,0.9,"{'alpha': 66, 'l1_ratio': 0.9}",-7.245594649814946,-7.161703777915137,-7.203649213865042,0.04194543594990474,25,constant,6.0
23,1.2451788187026978,0.00655210018157959,0.04788815975189209,0.0103837251663208,66,0.99,"{'alpha': 66, 'l1_ratio': 0.99}",-7.309976970288838,-7.227893215902095,-7.268935093095466,0.0410418771933716,26,constant,5.0
24,2.710521697998047,0.7113490104675293,0.01910984516143799,0.00039255619049072266,100,0.01,"{'alpha': 100, 'l1_ratio': 0.01}",-6.211770957370172,-6.1228142600603634,-6.167292608715268,0.0444783486549043,10,constant,26.0
25,1.032356858253479,0.007829070091247559,0.018573880195617676,0.00023448467254638672,100,0.1,"{'alpha': 100, 'l1_ratio': 0.1}",-6.403911939187442,-6.311339811815941,-6.357625875501691,0.04628606368575072,19,constant,16.0
26,0.4109923839569092,0.0294952392578125,0.017802119255065918,0.0006140470504760742,100,0.9,"{'alpha': 100, 'l1_ratio': 0.9}",-7.552913484408891,-7.474789832157024,-7.513851658282958,0.039061826125933674,27,constant,4.0
27,0.39665043354034424,0.00956261157989502,0.01866018772125244,0.0003896951675415039,100,0.99,"{'alpha': 100, 'l1_ratio': 0.99}",-7.620720966231402,-7.5375408716334995,-7.579130918932451,0.041590047298951216,28,constant,3.0
